question,answer,source
"Two helium balloons are identical except for their temperatures. Which helium balloon has more thermal energy? Choose from: the hotter helium balloon, the colder helium balloon.","The two helium balloons are made of the same material and have the same mass. So, the hotter helium balloon has more thermal energy.",PhysicsScienceQA
"The objects are identical except for their temperatures. Which object has more thermal energy? Choose from: a 2-kilogram block of copper at a temperature of 245°F, a 2-kilogram block of copper at a temperature of 215°F.","The two blocks of copper have the same mass but different temperatures. Since the 245°F block is hotter than the 215°F block, it has more thermal energy.",PhysicsScienceQA
"Compare the motion of two gray whales. Which gray whale was moving at a higher speed? Choose from: a gray whale that moved 25miles in 5hours, a gray whale that moved 20miles in 5hours.","Look at the distance each gray whale moved and the time it took to move that distance.
One gray whale moved 25 miles in 5 hours.
The other gray whale moved 20 miles in 5 hours.
Notice that each gray whale spent the same amount of time moving. The gray whale that moved 25 miles moved a farther distance in that time. So, that gray whale must have moved at a higher speed.",PhysicsScienceQA
"The objects are identical except for their temperatures. Which object has more thermal energy? Choose from: a cherry pie at a temperature of 100°F, a cherry pie at a temperature of 85°F.","The two cherry pies have the same mass but different temperatures. Since the 100°F pie is hotter than the 85°F pie, it has more thermal energy.",PhysicsScienceQA
"Compare the motion of two speed walkers. Which speed walker was moving at a higher speed? Choose from: a speed walker who moved 50miles in 10hours, a speed walker who moved 25miles in 10hours.","Look at the distance each speed walker moved and the time it took to move that distance.
One speed walker moved 50 miles in 10 hours.
The other speed walker moved 25 miles in 10 hours.
Notice that each speed walker spent the same amount of time moving. The speed walker who moved 50 miles moved a farther distance in that time. So, that speed walker must have moved at a higher speed.",PhysicsScienceQA
"Select the solid. Choose from: fruit punch, garbage can, wet paint, vinegar.","Wet paint is a liquid. A liquid takes the shape of any container it is in. If you pour wet paint out of a can, the paint will change shape. But the wet paint will still take up the same amount of space.
Fruit punch is a liquid. A liquid takes the shape of any container it is in. If you pour fruit punch into a cup, the punch will take the shape of the cup. But the punch will still take up the same amount of space.
A garbage can is a solid. A solid has a size and shape of its own. You can open or close a garbage can. But it will still have a size and shape of its own.
Vinegar is a liquid. A liquid takes the shape of any container it is in. If you pour vinegar into a different container, the vinegar will take the shape of that container. But the vinegar will still take up the same amount of space.",PhysicsScienceQA
"Two mail trucks are loaded with mail. The trucks are the same. But they are carrying different amounts of mail. The trucks begin to move at the same speed. Which truck needs a larger force to start moving? Choose from: a mail truck carrying 600 pounds of mail, a mail truck carrying 250 pounds of mail.","Look for the mail truck that is heavier.
A mail truck carrying 600 pounds of mail is heavier than a mail truck carrying 250 pounds of mail. So, the mail truck carrying 600 pounds needs a larger force to start moving at the same speed as the other mail truck.",PhysicsScienceQA
"Which is stickier? Choose from: honey, glass marbles.","Sticky is a property. A sticky material can stick to other things.
Look at each picture, one at a time. Imagine touching the material shown in each picture.
Of the choices, the honey is stickier. If you touch honey, it will stick to you.",PhysicsScienceQA
"Which is smoother? Choose from: nylon shorts, sandpaper.","Smooth is a property. A smooth material is not rough or bumpy.
Look at each picture, one at a time. Imagine touching the material shown in each picture.
Of the choices, the nylon shorts are smoother. If you touch nylon fabric, it will not feel rough.",PhysicsScienceQA
"The objects are identical except for their temperatures. Which object has the most thermal energy? Choose from: a 150-gram glass of orange juice at a temperature of 26°C, a 150-gram glass of orange juice at a temperature of 7°C, a 150-gram glass of orange juice at a temperature of 6°C.","All three glasses of orange juice have the same mass but different temperatures. Since the 26°C glass of orange juice is the hottest, it has the most thermal energy.",PhysicsScienceQA
"The objects are identical except for their temperatures. Which object has the most thermal energy? Choose from: a 5-kilogram gold bar at a temperature of 31°F, a 5-kilogram gold bar at a temperature of 17°F, a 5-kilogram gold bar at a temperature of 25°F.","All three gold bars have the same mass but different temperatures. Since the 31°F gold bar is the hottest, it has the most thermal energy.",PhysicsScienceQA
"Which is more flexible? Choose from: nylon shorts, ceramic mug.","Flexible is a property. A flexible material can be bent without breaking easily.
Look at each picture, one at a time. Imagine bending the material shown in each picture.
Of the choices, the nylon shorts are more flexible. If you fold nylon fabric, it will not break.",PhysicsScienceQA
"Isaac Newton was born in the 1600s and studied how objects move. He discovered three fundamental laws about forces and motion. According to Newton's third law, for every force, there is an equal and opposite force.
Consider the following force:
A rolling pin is pushing on a mound of cookie dough. According to Newton's third law, what other force must be happening? Choose from: The mound of cookie dough is pushing on the rolling pin., The mound of cookie dough is pulling on the rolling pin..","The rolling pin is pushing on the mound of cookie dough. So, Newton's third law tells you that the mound of cookie dough is pushing on the rolling pin.",PhysicsScienceQA
"The objects are identical except for their temperatures. Which object has the least thermal energy? Choose from: a 9-kilogram block of steel at a temperature of 198°C, a 9-kilogram block of steel at a temperature of 0°C, a 9-kilogram block of steel at a temperature of 195°C.","All three blocks of steel have the same mass but different temperatures. Since the 0°C block is the coldest, it has the least thermal energy.",PhysicsScienceQA
"Compare the motion of three geese. Which goose was moving at the highest speed? Choose from: a goose that moved 675miles north in 10hours, a goose that moved 575miles west in 10hours, a goose that moved 765miles north in 10hours.","Look at the distance each goose moved and the time it took to move that distance. The direction each goose moved does not affect its speed.
Notice that each goose moved for 10 hours. The goose that moved 765 miles moved the farthest distance in that time. So, that goose must have moved at the highest speed.",PhysicsScienceQA
"Compare the motion of three speedboats. Which speedboat was moving at the lowest speed? Choose from: a speedboat that moved 310kilometers west in 5hours, a speedboat that moved 380kilometers east in 5hours, a speedboat that moved 415kilometers west in 5hours.","Look at the distance each speedboat moved and the time it took to move that distance. The direction each speedboat moved does not affect its speed.
Notice that each speedboat moved for 5 hours. The speedboat that moved 310 kilometers moved the shortest distance in that time. So, that speedboat must have moved at the lowest speed.",PhysicsScienceQA
"Compare the motion of two mountain bikers. Which mountain biker was moving at a lower speed? Choose from: a mountain biker who moved 190miles in 10hours, a mountain biker who moved 100miles in 10hours.","Look at the distance each mountain biker moved and the time it took to move that distance.
One mountain biker moved 100 miles in 10 hours.
The other mountain biker moved 190 miles in 10 hours.
Notice that each mountain biker spent the same amount of time moving. The mountain biker who moved 100 miles moved a shorter distance in that time. So, that mountain biker must have moved at a lower speed.",PhysicsScienceQA
"Colton gives two friends a ride in his wagon. One friend sits in the wagon at a time. Colton starts to pull the wagon across the yard. To move the wagon at the same speed each time, which friend does Colton need to pull with a larger force? Choose from: a friend who weighs 27 pounds, a friend who weighs 32 pounds.","Look for the friend who is heavier.
A friend who weighs 32 pounds is heavier than a friend who weighs 27 pounds. So, to move the wagon at the same speed each time, Colton needs to use a larger force to start moving the wagon with a friend who weighs 32 pounds.",PhysicsScienceQA
"Two helium balloons are identical except for their temperatures. Which helium balloon has less thermal energy? Choose from: the colder helium balloon, the hotter helium balloon.","The two helium balloons are made of the same material and have the same mass. So, the colder helium balloon has less thermal energy.",PhysicsScienceQA
"Which would stretch more? Choose from: nylon shorts, glass bowl.","Stretchy is a property. A stretchy material gets longer when you pull on it.
Look at each picture, one at a time. Imagine pulling on the material shown in each picture.
Of the choices, the nylon shorts would stretch more. If you pull the leg opening on a pair of nylon shorts, it will get wider.",PhysicsScienceQA
"The objects are identical except for their temperatures. Which object has the most thermal energy? Choose from: an 8-kilogram gold bar at a temperature of 131°C, an 8-kilogram gold bar at a temperature of 136°C, an 8-kilogram gold bar at a temperature of 135°C.","All three gold bars have the same mass but different temperatures. Since the 136°C gold bar is the hottest, it has the most thermal energy.",PhysicsScienceQA
"The objects are identical except for their temperatures. Which object has more thermal energy? Choose from: a bowl of oatmeal at a temperature of 40°C, a bowl of oatmeal at a temperature of 25°C.","The two bowls of oatmeal have the same mass but different temperatures. Since the 40°C bowl of oatmeal is hotter than the 25°C bowl of oatmeal, it has more thermal energy.",PhysicsScienceQA
"Isaac Newton was born in the 1600s and studied how objects move. He discovered three fundamental laws about forces and motion. According to Newton's third law, for every force, there is an equal and opposite force.
Consider the following force:
Britney's hand is pushing on a door. According to Newton's third law, what other force must be happening? Choose from: The door is pushing on Britney's hand., The door is pulling on Britney's hand..","Britney's hand is pushing on the door. So, Newton's third law tells you that the door is pushing on Britney's hand.",PhysicsScienceQA
"Isaac Newton was born in the 1600s and studied how objects move. He discovered three fundamental laws about forces and motion. According to Newton's third law, for every force, there is an equal and opposite force.
Consider the following force:
Stacy's foot is pushing on her car's gas pedal. According to Newton's third law, what other force must be happening? Choose from: The gas pedal is pulling on Stacy's foot., The gas pedal is pushing on Stacy's foot..","Stacy's foot is pushing on the gas pedal. So, Newton's third law tells you that the gas pedal is pushing on Stacy's foot.",PhysicsScienceQA
"Compare the motion of two blue jays. Which blue jay was moving at a higher speed? Choose from: a blue jay that moved 330kilometers in 10hours, a blue jay that moved 315kilometers in 10hours.","Look at the distance each blue jay moved and the time it took to move that distance.
One blue jay moved 330 kilometers in 10 hours.
The other blue jay moved 315 kilometers in 10 hours.
Notice that each blue jay spent the same amount of time moving. The blue jay that moved 330 kilometers moved a farther distance in that time. So, that blue jay must have moved at a higher speed.",PhysicsScienceQA
"Compare the motion of three sailboats. Which sailboat was moving at the lowest speed? Choose from: a sailboat that moved 50kilometers north in 5hours, a sailboat that moved 70kilometers west in 5hours, a sailboat that moved 25kilometers east in 5hours.","Look at the distance each sailboat moved and the time it took to move that distance. The direction each sailboat moved does not affect its speed.
Notice that each sailboat moved for 5 hours. The sailboat that moved 25 kilometers moved the shortest distance in that time. So, that sailboat must have moved at the lowest speed.",PhysicsScienceQA
"Two donkeys pull carts from the farmhouse to the yard. The carts are the same. Each cart is holding different tools. The donkeys move the carts at the same speed. Which cart is pulled with a larger force? Choose from: a cart holding 63 pounds, a cart holding 65 pounds.","Look for the cart that is heavier.
A cart holding 65 pounds is heavier than a cart holding 63 pounds. So, the cart holding 65 pounds needs a larger force to start moving at the same speed as the other cart.",PhysicsScienceQA
"Which is softer? Choose from: silk kimono, metal flute.","Soft is a property. A soft material changes shape when you press on it.
Look at each picture, one at a time. Imagine touching the material shown in each picture.
Of the choices, the silk kimono is softer. If you press on silk fabric, it will change shape.",PhysicsScienceQA
"Compare the motion of three bicycles. Which bicycle was moving at the highest speed? Choose from: a bicycle that moved 110kilometers north in 5hours, a bicycle that moved 85kilometers south in 5hours, a bicycle that moved 135kilometers north in 5hours.","Look at the distance each bicycle moved and the time it took to move that distance. The direction each bicycle moved does not affect its speed.
Notice that each bicycle moved for 5 hours. The bicycle that moved 135 kilometers moved the farthest distance in that time. So, that bicycle must have moved at the highest speed.",PhysicsScienceQA
"Compare the motion of three speedboats. Which speedboat was moving at the highest speed? Choose from: a speedboat that moved 395kilometers west in 5hours, a speedboat that moved 345kilometers west in 5hours, a speedboat that moved 335kilometers south in 5hours.","Look at the distance each speedboat moved and the time it took to move that distance. The direction each speedboat moved does not affect its speed.
Notice that each speedboat moved for 5 hours. The speedboat that moved 395 kilometers moved the farthest distance in that time. So, that speedboat must have moved at the highest speed.",PhysicsScienceQA
"Which is more flexible? Choose from: ice rink, leather belt.","Flexible is a property. A flexible material can be bent without breaking easily.
Look at each picture, one at a time. Imagine bending the material shown in each picture.
Of the choices, the leather belt is more flexible. If you fold leather, it will not break.",PhysicsScienceQA
"Read the text about a person in motion.
Matthew rode an escalator from the first floor to the second floor of a shopping mall. Complete the statement. Assume that Matthew's mass did not change.
The gravitational potential energy stored between Matthew and Earth () as he rode the escalator. Choose from: increased, stayed the same, decreased.","Think about how the distance between Matthew and the center of Earth changed.
The second floor is higher than the first floor. As he rode the escalator toward the second floor, the distance between Matthew and the center of Earth increased. So, the gravitational potential energy stored between Matthew and Earth increased as he rode the escalator.",PhysicsScienceQA
"Compare the motion of three cars. Which car was moving at the highest speed? Choose from: a car that moved 115kilometers north in 5hours, a car that moved 510kilometers north in 5hours, a car that moved 435kilometers west in 5hours.","Look at the distance each car moved and the time it took to move that distance. The direction each car moved does not affect its speed.
Notice that each car moved for 5 hours. The car that moved 510 kilometers moved the farthest distance in that time. So, that car must have moved at the highest speed.",PhysicsScienceQA
"The objects are identical except for their temperatures. Which object has the least thermal energy? Choose from: a cherry pie at a temperature of 43°C, a cherry pie at a temperature of 24°C, a cherry pie at a temperature of 35°C.","All three cherry pies have the same mass but different temperatures. Since the 24°C pie is the coldest, it has the least thermal energy.",PhysicsScienceQA
"A sled is slowing down at the bottom of a snowy hill. Which statement describes the sled's motion? Choose from: The sled has a constant velocity., The sled is accelerating..","The sled is slowing down. So, the sled is accelerating.",PhysicsScienceQA
"Two drops of dish soap are identical except for their thermal energies. Which drop of dish soap has a lower temperature? Choose from: the drop of dish soap with more thermal energy, the drop of dish soap with less thermal energy.","The two drops of dish soap are made of the same material and have the same mass. So, the drop of dish soap with less thermal energy has a lower temperature.",PhysicsScienceQA
"The objects are identical except for their temperatures. Which object has more thermal energy? Choose from: a 300-gram rock at a temperature of 120°F, a 300-gram rock at a temperature of 145°F.","The two rocks have the same mass but different temperatures. Since the 145°F rock is hotter than the 120°F rock, it has more thermal energy.",PhysicsScienceQA
"Compare the motion of two buses. Which bus was moving at a higher speed? Choose from: a bus that moved 825kilometers in 10hours, a bus that moved 460kilometers in 10hours.","Look at the distance each bus moved and the time it took to move that distance.
One bus moved 825 kilometers in 10 hours.
The other bus moved 460 kilometers in 10 hours.
Notice that each bus spent the same amount of time moving. The bus that moved 825 kilometers moved a farther distance in that time. So, that bus must have moved at a higher speed.",PhysicsScienceQA
"Which is the stickiest? Choose from: book, steel beam, syrup.","Sticky is a property. A sticky material easily attaches to other things.
Look at each picture, one at a time. Imagine touching the material shown in each picture.
Of the choices, the syrup is the stickiest. If you touch syrup, it will stick to you.",PhysicsScienceQA
"Isaac Newton was born in the 1600s and studied how objects move. He discovered three fundamental laws about forces and motion. According to Newton's third law, for every force, there is an equal and opposite force.
Consider the following force:
Pete is pulling on a full suitcase. According to Newton's third law, what other force must be happening? Choose from: The suitcase is pushing on Pete., The suitcase is pulling on Pete..","Pete is pulling on the suitcase. So, Newton's third law tells you that the suitcase is pulling on Pete.",PhysicsScienceQA
"Isaac Newton was born in the 1600s and studied how objects move. He discovered three fundamental laws about forces and motion. According to Newton's third law, for every force, there is an equal and opposite force.
Consider the following force:
Kinsley's hand is pushing on a door. According to Newton's third law, what other force must be happening? Choose from: The door is pushing on Kinsley's hand., The door is pulling on Kinsley's hand..","Kinsley's hand is pushing on the door. So, Newton's third law tells you that the door is pushing on Kinsley's hand.",PhysicsScienceQA
"Which is harder? Choose from: nylon swim shorts, chalk.","Hard is a property. A hard material keeps its shape when you press on it with your finger.
Look at each picture, one at a time. Imagine pushing on the material shown in each picture.
Of the choices, the chalk is harder. If you squeeze a piece of chalk, it will not change shape.",PhysicsScienceQA
"Megan is sitting on a roller coaster cart as it reaches the bottom of a big loop. Earth's gravity is pulling down on Megan with a force of 600N. The seat of the cart is pushing up on Megan with a force of 1,200N. Assume all other forces on Megan are balanced. Which statement describes the forces on Megan? Choose from: The forces are balanced, so there is no net force on Megan., The forces are unbalanced, so there is a net force on Megan..","To determine if there is a net force on Megan, look at the forces:
Earth's gravity is pulling Megan down with a force of 600 N.
The seat of the cart is pushing Megan up with a force of 1,200 N.
The forces are in opposite directions, and the forces have different magnitudes: 600 N and 1,200 N. This means that the forces are unbalanced, so there is a net force on Megan.",PhysicsScienceQA
"Isaac Newton was born in the 1600s and studied how objects move. He discovered three fundamental laws about forces and motion. According to Newton's third law, for every force, there is an equal and opposite force.
Consider the following force:
A bar magnet is pushing on a disc magnet. According to Newton's third law, what other force must be happening? Choose from: The disc magnet is pulling on the bar magnet., The disc magnet is pushing on the bar magnet..","The bar magnet is pushing on the disc magnet. So, Newton's third law tells you that the disc magnet is pushing on the bar magnet.",PhysicsScienceQA
"Select the liquid. Choose from: rag doll, eraser, arrowhead, vinegar.","An arrowhead is a solid. A solid has a size and shape of its own. An arrowhead is made of rock.
An eraser is a solid. You can bend an eraser. But it will still have a size and shape of its own.
Vinegar is a liquid. A liquid takes the shape of any container it is in. If you pour vinegar into a different container, the vinegar will take the shape of that container. But the vinegar will still take up the same amount of space.
A rag doll is a solid. A solid has a size and shape of its own. When you hold a rag doll in your hands, the rag doll still has a size and shape of its own.",PhysicsScienceQA
"The objects are identical except for their temperatures. Which object has the most thermal energy? Choose from: a 5-kilogram brick at a temperature of 134°C, a 5-kilogram brick at a temperature of 137°C, a 5-kilogram brick at a temperature of 130°C.","All three bricks have the same mass but different temperatures. Since the 137°C brick is the hottest, it has the most thermal energy.",PhysicsScienceQA
"The objects are identical except for their temperatures. Which object has the most thermal energy? Choose from: a 100-gram cup of black tea at a temperature of 47°C, a 100-gram cup of black tea at a temperature of 62°C, a 100-gram cup of black tea at a temperature of 56°C.","All three cups of black tea have the same mass but different temperatures. Since the 62°C cup of black tea is the hottest, it has the most thermal energy.",PhysicsScienceQA
"Compare the motion of two birds. Which bird was moving at a lower speed? Choose from: a bird that moved 30kilometers in 5hours, a bird that moved 45kilometers in 5hours.","Look at the distance each bird moved and the time it took to move that distance.
One bird moved 30 kilometers in 5 hours.
The other bird moved 45 kilometers in 5 hours.
Notice that each bird spent the same amount of time moving. The bird that moved 30 kilometers moved a shorter distance in that time. So, that bird must have moved at a lower speed.",PhysicsScienceQA
"Which is harder? Choose from: wood board, wool sweater.","Hard is a property. A hard material keeps its shape when you press on it with your finger.
Look at each picture, one at a time. Imagine pushing on the material shown in each picture.
Of the choices, the wood board is harder. If you press on a piece of wood, it will not change shape.",PhysicsScienceQA
"Select the gas. Choose from: air inside a bubble, clothespin, beans, lemonade.","A clothespin is a solid. A solid has a size and shape of its own. You can open or close a clothespin. But it will still have a size and shape of its own.
A bean is a solid. A solid has a size and shape of its own. If you put many beans into a jar, the group of beans will take the shape of the jar, as a liquid would. But be careful! A bean is not a liquid. Each bean still has a size and shape of its own.
The air inside a bubble is a gas. A gas expands to fill a space. The air inside a bubble fills all the space in the bubble. If the bubble pops, the air will expand to fill a much larger space.
Lemonade is a liquid. A liquid takes the shape of any container it is in. If you pour lemonade into a cup, the lemonade will take the shape of the cup. But the lemonade will still take up the same amount of space.",PhysicsScienceQA
"Which is softer? Choose from: cotton head band, diamond.","Soft is a property. A soft material changes shape when you press on it.
Look at each picture, one at a time. Imagine touching the material shown in each picture.
Of the choices, the cotton head band is softer. If you squeeze cotton fabric, it will change shape.",PhysicsScienceQA
"Kids from two different schools are riding their school buses home. The buses are the same. They are going the same speed. But different numbers of kids are riding in each bus. Each bus takes the same amount of time to stop. Which school bus needs a larger force to come to a stop? Choose from: a school bus carrying 600 pounds, a school bus carrying 750 pounds.","Look for the school bus that is heavier.
A school bus carrying 750 pounds is heavier than a school bus carrying 600 pounds. So, the school bus carrying 750 pounds needs a larger force to come to a stop in the same amount of time as the other bus.",PhysicsScienceQA
"Isaac Newton was born in the 1600s and studied how objects move. He discovered three fundamental laws about forces and motion. According to Newton's third law, for every force, there is an equal and opposite force.
Consider the following force:
Darnel is pushing on his friend's wheelchair. According to Newton's third law, what other force must be happening? Choose from: The wheelchair is pushing on Darnel., The wheelchair is pulling on Darnel..","Darnel is pushing on the wheelchair. So, Newton's third law tells you that the wheelchair is pushing on Darnel.",PhysicsScienceQA
"Which is smoother? Choose from: plastic bag, burlap sack.","Smooth is a property. A smooth material is not rough or bumpy.
Look at each picture, one at a time. Imagine touching the material shown in each picture.
Of the choices, the plastic bag is smoother. If you touch a plastic bag, it will not feel rough.",PhysicsScienceQA
"Compare the motion of three speedboats. Which speedboat was moving at the highest speed? Choose from: a speedboat that moved 235kilometers east in 5hours, a speedboat that moved 390kilometers east in 5hours, a speedboat that moved 330kilometers south in 5hours.","Look at the distance each speedboat moved and the time it took to move that distance. The direction each speedboat moved does not affect its speed.
Notice that each speedboat moved for 5 hours. The speedboat that moved 390 kilometers moved the farthest distance in that time. So, that speedboat must have moved at the highest speed.",PhysicsScienceQA
"Which is the bumpiest? Choose from: paper bag, asphalt road, cotton shirt.","Bumpy is a property. A bumpy material is covered in lumps and bumps. It is not flat or smooth.
Look at each picture, one at a time. Imagine touching the material shown in each picture.
Of the choices, the asphalt road is the bumpiest. If you touch an asphalt road, it will feel lumpy and bumpy.",PhysicsScienceQA
"Compare the motion of two mountain bikers. Which mountain biker was moving at a higher speed? Choose from: a mountain biker who moved 165kilometers in 5hours, a mountain biker who moved 135kilometers in 5hours.","Look at the distance each mountain biker moved and the time it took to move that distance.
One mountain biker moved 165 kilometers in 5 hours.
The other mountain biker moved 135 kilometers in 5 hours.
Notice that each mountain biker spent the same amount of time moving. The mountain biker who moved 165 kilometers moved a farther distance in that time. So, that mountain biker must have moved at a higher speed.",PhysicsScienceQA
"Which is bumpier? Choose from: cardboard, asphalt road.","Bumpy is a property. A bumpy material is covered in lumps and bumps. It is not flat or smooth.
Look at each picture, one at a time. Imagine touching the material shown in each picture.
Of the choices, the asphalt road is bumpier. If you touch an asphalt road, it will feel lumpy and bumpy.",PhysicsScienceQA
"Two 150-gram mugs of cider are identical except for their thermal energies. Which mug of cider has a lower temperature? Choose from: the mug of cider with less thermal energy, the mug of cider with more thermal energy.","The two mugs of cider are made of the same material and have the same mass. So, the mug of cider with less thermal energy has a lower temperature.",PhysicsScienceQA
"Read the text about an object in motion.
Rosa dropped a water balloon off a balcony. The water balloon fell toward her friend Sandeep, who was standing below the balcony. Complete the statement. Assume that the water balloon's mass did not change.
The gravitational potential energy stored between the water balloon and Earth () as the water balloon fell toward Sandeep. Choose from: increased, stayed the same, decreased.","Think about how the distance between the water balloon and the center of Earth changed.
Sandeep was lower than the balcony. As the water balloon fell toward Sandeep, the distance between the water balloon and the center of Earth decreased. So, the gravitational potential energy stored between the water balloon and Earth decreased as the water balloon fell toward Sandeep.",PhysicsScienceQA
"Compare the motion of three speedboats. Which speedboat was moving at the lowest speed? Choose from: a speedboat that moved 290miles east in 10hours, a speedboat that moved 460miles west in 10hours, a speedboat that moved 645miles north in 10hours.","Look at the distance each speedboat moved and the time it took to move that distance. The direction each speedboat moved does not affect its speed.
Notice that each speedboat moved for 10 hours. The speedboat that moved 290 miles moved the shortest distance in that time. So, that speedboat must have moved at the lowest speed.",PhysicsScienceQA
"Two metal paper clips are identical except for their temperatures. Which metal paper clip has more thermal energy? Choose from: the hotter metal paper clip, the colder metal paper clip.","The two metal paper clips are made of the same material and have the same mass. So, the hotter metal paper clip has more thermal energy.",PhysicsScienceQA
"Dylan is standing on a diving board at the pool. Earth's gravity is pulling down on Dylan with a force of 400N. The diving board is pushing up on Dylan with a force of 400N. Assume all other forces on Dylan are balanced. Which statement describes the forces on Dylan? Choose from: The forces are balanced, so there is no net force on Dylan., The forces are unbalanced, so there is a net force on Dylan..","To determine if there is a net force on Dylan, look at the forces:
Earth's gravity is pulling Dylan down with a force of 400 N.
The diving board is pushing Dylan up with a force of 400 N.
The forces are in opposite directions, and the forces have the same magnitude: 400 N. This means that the forces are balanced, so there is no net force on Dylan.",PhysicsScienceQA
"Two 6-kilogram gold bars are identical except for their thermal energies. Which gold bar has a higher temperature? Choose from: the gold bar with more thermal energy, the gold bar with less thermal energy.","The two gold bars are made of the same material and have the same mass. So, the gold bar with more thermal energy has a higher temperature.",PhysicsScienceQA
"Select the solid. Choose from: rain, coins, apple juice.","Rain is a liquid. A liquid takes the shape of any container it is in. If you put rainwater into a bucket, the rainwater will take the shape of the bucket. But the rainwater will still take up the same amount of space.
A coin is a solid. A solid has a size and shape of its own. Many coins are made of solid metal.
Apple juice is a liquid. A liquid takes the shape of any container it is in. If you pour apple juice into a different container, the apple juice will take the shape of that container. But the apple juice will still take up the same amount of space.",PhysicsScienceQA
"The objects are identical except for their temperatures. Which object has more thermal energy? Choose from: a 2-kilogram brick at a temperature of 140°F, a 2-kilogram brick at a temperature of 70°F.","The two bricks have the same mass but different temperatures. Since the 140°F brick is hotter than the 70°F brick, it has more thermal energy.",PhysicsScienceQA
"Two 18-gram wax candles are identical except for their thermal energies. Which wax candle has a higher temperature? Choose from: the wax candle with less thermal energy, the wax candle with more thermal energy.","The two wax candles are made of the same material and have the same mass. So, the wax candle with more thermal energy has a higher temperature.",PhysicsScienceQA
"The objects are identical except for their temperatures. Which object has less thermal energy? Choose from: a 250-gram cup of black tea at a temperature of 120°F, a 250-gram cup of black tea at a temperature of 115°F.","The two cups of black tea have the same mass but different temperatures. Since the 115°F cup of black tea is colder than the 120°F cup of black tea, it has less thermal energy.",PhysicsScienceQA
"Logan gives two friends a ride in his wagon. One friend sits in the wagon at a time. Logan starts to pull the wagon across the yard. To move the wagon at the same speed each time, which friend does Logan need to pull with a larger force? Choose from: a friend who weighs 24 pounds, a friend who weighs 25 pounds.","Look for the friend who is heavier.
A friend who weighs 25 pounds is heavier than a friend who weighs 24 pounds. So, to move the wagon at the same speed each time, Logan needs to use a larger force to start moving the wagon with a friend who weighs 25 pounds.",PhysicsScienceQA
"Two 225-gram glasses of orange juice are identical except for their thermal energies. Which glas of orange juice has a higher temperature? Choose from: the glass of orange juice with more thermal energy, the glass of orange juice with less thermal energy.","The two glasses of orange juice are made of the same material and have the same mass. So, the glass of orange juice with more thermal energy has a higher temperature.",PhysicsScienceQA
"The objects are identical except for their temperatures. Which object has the most thermal energy? Choose from: a 350-gram mug of cider at a temperature of 75°C, a 350-gram mug of cider at a temperature of 54°C, a 350-gram mug of cider at a temperature of 53°C.","All three mugs of cider have the same mass but different temperatures. Since the 75°C mug of cider is the hottest, it has the most thermal energy.",PhysicsScienceQA
"Compare the motion of two bats. Which bat was moving at a lower speed? Choose from: a bat that moved 95kilometers in 5hours, a bat that moved 115kilometers in 5hours.","Look at the distance each bat moved and the time it took to move that distance.
One bat moved 95 kilometers in 5 hours.
The other bat moved 115 kilometers in 5 hours.
Notice that each bat spent the same amount of time moving. The bat that moved 95 kilometers moved a shorter distance in that time. So, that bat must have moved at a lower speed.",PhysicsScienceQA
"A mom, a dad, and two kids are going for a walk. The mom and the dad each push one of the kids in a stroller. The strollers are the same. But the kids are different sizes. The mom and dad push the strollers at the same speed. Which stroller is pushed with a larger force? Choose from: a stroller with kid that weighs 25 pounds, a stroller with kid that weighs 30 pounds.","Look for the stroller that is heavier.
A stroller holding a kid that weighs 30 pounds is heavier than a stroller holding a kid that weighs 25 pounds. So, the stroller holding the kid that weighs 30 pounds needs to be pushed with a larger force to start moving forward at the same speed as the other other stroller.",PhysicsScienceQA
"Isaac Newton was born in the 1600s and studied how objects move. He discovered three fundamental laws about forces and motion. According to Newton's third law, for every force, there is an equal and opposite force.
Consider the following force:
A hockey stick is pushing on a hockey puck. According to Newton's third law, what other force must be happening? Choose from: The hockey puck is pulling on the hockey stick., The hockey puck is pushing on the hockey stick..","The hockey stick is pushing on the hockey puck. So, Newton's third law tells you that the hockey puck is pushing on the hockey stick.",PhysicsScienceQA
"The objects are identical except for their temperatures. Which object has less thermal energy? Choose from: a bowl of oatmeal at a temperature of 35°C, a bowl of oatmeal at a temperature of 40°C.","The two bowls of oatmeal have the same mass but different temperatures. Since the 35°C bowl of oatmeal is colder than the 40°C bowl of oatmeal, it has less thermal energy.",PhysicsScienceQA
"Compare the motion of two mountain bikers. Which mountain biker was moving at a lower speed? Choose from: a mountain biker who moved 105miles in 10hours, a mountain biker who moved 90miles in 10hours.","Look at the distance each mountain biker moved and the time it took to move that distance.
One mountain biker moved 90 miles in 10 hours.
The other mountain biker moved 105 miles in 10 hours.
Notice that each mountain biker spent the same amount of time moving. The mountain biker who moved 90 miles moved a shorter distance in that time. So, that mountain biker must have moved at a lower speed.",PhysicsScienceQA
"The objects are identical except for their temperatures. Which object has the least thermal energy? Choose from: a 150-gram glass of orange juice at a temperature of 57°F, a 150-gram glass of orange juice at a temperature of 55°F, a 150-gram glass of orange juice at a temperature of 59°F.","All three glasses of orange juice have the same mass but different temperatures. Since the 55°F glass of orange juice is the coldest, it has the least thermal energy.",PhysicsScienceQA
